Time Units = Minutes

  Process:  Single Loop Jacketed Reactor


  Controller:  PID ( P= DA, I= ARW, D= off, F = off)

  Tuning: Gain = -4.0 [%/°C] , Reset Time = 4.0 [min], Sample Time = 1.0 [sec]

        Time     Controller   Process
       (Min)       Output     Variable   Set Point   Disturbance
   8.2833333       67.10   85.019337   85.019337       50.00
        8.30       67.10   84.988402   84.988402       50.00
   8.3166667       67.10   85.004389   85.004389       50.00
   8.3333333       67.10   85.022707   85.022707       50.00
        8.35       67.10   85.037483   85.037483       50.00
   8.3666667       67.10   85.028536   85.028536       50.00
   8.3833333       67.10   84.984846   84.984846       50.00
        8.40       67.10   84.989423   84.989423       50.00
   8.4166667       67.10   85.053926   85.053926       50.00
   8.4333333       67.10   84.991304   84.991304       50.00
        8.45       67.10   84.992911   84.992911       50.00
   8.4666667       67.10   84.995833   84.995833       50.00
   8.4833333       67.10   84.995431   84.995431       50.00
        8.50       67.10   85.013354   85.013354       50.00
   8.5166667       67.10   85.013059   85.013059       50.00
   8.5333333       67.10   84.989003   84.989003       50.00
        8.55       67.10   84.970686   84.970686       50.00
   8.5666667       67.10   85.014299   85.014299       50.00
   8.5833333       67.10   84.960992   84.960992       50.00
        8.60       67.10   85.029011   85.029011       50.00
   8.6166667       67.10   84.973669   84.973669       50.00
   8.6333333       67.10   84.996437   84.996437       50.00
        8.65       67.10   84.995399   84.995399       50.00
   8.6666667       67.10   85.008485   85.008485       50.00
   8.6833333       67.10   84.997006   84.997006       50.00
        8.70       67.10   85.022924   85.022924       50.00
   8.7166667       67.10   85.010238   85.010238       50.00
   8.7333333       67.10   84.978808   84.978808       50.00
        8.75       67.10   84.984229   84.984229       50.00
   8.7666667       67.10   84.988997   84.988997       50.00
   8.7833333       67.10   84.989211   84.989211       50.00
        8.80       67.10   84.996245   84.996245       50.00
   8.8166667       67.10   85.021343   85.021343       50.00
   8.8333333       67.10   84.994129   84.994129       50.00
        8.85       67.10   84.998874   84.998874       50.00
   8.8666667       67.10   85.013478   85.013478       50.00
   8.8833333       67.10   84.989735   84.989735       50.00
        8.90       67.10   85.004248   85.004248       50.00
   8.9166667       67.10   84.988062   84.988062       50.00
   8.9333333       67.10   84.990782   84.990782       50.00
        8.95       67.10   84.994728   84.994728       50.00
   8.9666667       67.10   85.007512   85.007512       50.00
   8.9833333       67.10   85.006837   85.006837       50.00
        9.00       67.10    85.02617    85.02617       50.00
   9.0166667       67.10   84.998632   84.998632       50.00
